Title,Columns,Tags,Link,Abstract
Global Electric Vehicle Sales Data (2010-2024),[region;category;parameter;mode;powertrain;year;unit;value],[business;tabular;automobiles and vehicles;data analytics;energy;electricity;data storytelling],https://www.kaggle.com/datasets/muhammadehsan000/global-electric-vehicle-sales-data-2010-2024,Electric vehicles (EVs) have seen a remarkable evolution from their early innovations to their current status as a pivotal element in the transportation industry. This document explores the rich history of The electric vehicle landscape has evolved significantly; influenced by technological advancements; environmental concerns; and shifting market dynamics. The modern resurgence of EVs reflects a growing recognition of their potential to reshape the transportation industry and drive towards a more sustainable future.electric vehicles; focusing on their development through various periods; and provides an overview of the different types of EVs available today. Through data visualizations and analysis; we highlight global EV trends; the growth of EV sales; and the distribution of various powertrain types across regions.
Healthcare Dataset (2019-2024),[name;age;gender;blood type;medical condition;data of admission;doctor;hospital;insurance provider;billing amount;room number;admission type;discharge date;medication;test result],[business;health;classification;nlp;healthcare;text pre-processing],https://www.kaggle.com/datasets/muhammadehsan000/healthcare-dataset-2019-2024,This synthetic healthcare dataset is crafted to be a valuable tool for data science; machine learning; and data analysis enthusiasts. It aims to replicate real-world healthcare data; providing a platform for users to practice; develop; and showcase their data manipulation and analysis skills within the healthcare sector.
World's Best-Selling Phone's Sales,[rank;manufacturer;model;form factor;smartphone?;year;units sold],[tablular;economics;advanced;mobile and wireless;benchmark],https://www.kaggle.com/datasets/muhammadroshaanriaz/global-best-selling-phone-sales,Hey there; phone fans! This dataset dives into the hottest-selling mobile phones; giving you the lowdown on the Top 120 models that ruled the market
IMDb Summer Movies Data,[tconst;title type;primary title;original title;year;runtime minutes;genres;simple title;average title; average rating;num votes],[business;arts and entertainment;movies and tv shows;artificial intelligence],https://www.kaggle.com/datasets/umerhaddii/imdb-summer-movies-data?select=summer movies.csv,This dataset includes information on movies released during the summer months; typically regarded as the peak season for blockbuster films. The data has been sourced from IMDb; featuring key details such as movie titles; release dates; genres; directors; cast; and IMDb ratings. It's an excellent resource for analyzing trends in summer movie releases; exploring the correlation between release timing and box office performance; or studying the impact of genre on audience reception. This dataset is ideal for data enthusiasts; researchers; and movie buffs interested in exploring the dynamics of summer cinema.
Electric Vehicle Data (1997 - 2024),[vin;county;city;state;postal code;model year;make;model;electric vehicle;clean alternative;electric range;base msrp;legislative district;dol vehicle id;vehicle location;electric utility; 2020 census],[tabluar;automobiles and vehicles;transportation;intermediate; english],https://www.kaggle.com/datasets/muhammadehsan000/2024-electric-car-data-washington-state,This dataset provides detailed information on Battery Electric Vehicles (BEVs) and Plug-in Hybrid Electric Vehicles (PHEVs) registered in Washington State in 2024. The data includes the Vehicle Identification Number (VIN); county; city; state; postal code; model year; make; model; type of electric vehicle; eligibility for clean alternative fuel; electric range; base MSRP; legislative district; Department of Licensing (DOL) vehicle ID; vehicle location; electricity provider; and 2020 census tract.
Company Employees,[no;first name;last name;gender;start date;years;department;country;center;monthly salary;annualsalary;job rate;sick leaves;unpaid leaves;overtime hours],[economics],https://www.kaggle.com/datasets/abdallahwagih/company-employees,This dataset contains detailed information on employees across various departments and countries; capturing key aspects of their employment and performance metrics. It can be used for various HR analytics tasks; such as analyzing salary trends; studying the impact of leaves on productivity; or predicting employee turnover.
Powerlifting Data,[lifter name;age;weight class;lift type;amount lifter (kg)],[Exercise],https://www.kaggle.com/datasets/waqi786/powerlifting-data,This dataset provides detailed records of powerlifting performance; including data on lifters; their age; weight class; and the amount lifted in various types of lifts. It aims to offer insights into powerlifting statistics and trends across different lifters and weight classes.
Heart Attack Risk Factors Dataset,[gender;age;blood pressure;cholestrol;has diabetes;smoking status;chest pain;treatment],[data analytics;data visualization;exploratory data analysis;heart conditions;data cleaning],https://www.kaggle.com/datasets/waqi786/heart-attack-dataset,This dataset provides a comprehensive overview of various factors associated with heart attack risks. It includes detailed information on patients' medical history; lifestyle habits; and physiological measurements. The data has been collected from multiple reputable medical studies and hospital records; ensuring a diverse and accurate representation of heart attack risk factors across different demographics.
Olympic Games (1994-2024),[noc;gold;silver;bronze;total],[computer science;tabular;sports;history;sql],https://www.kaggle.com/datasets/youssefismail20/olympic-games-1994-2024?select=beijing 2022 Olympics Nations Medals.csv,https://olympics-app-dashboard-youssef-ismail.streamlit.app/
Mortality Rate in the USA by Gender; Area; Cause,[rownames;region;status;sex;cause;rate;se],[government;united states;statistical analysis;people and society;mortality],https://www.kaggle.com/datasets/jacopoferretti/mortality-rate-in-the-usa-by-gender-area-cause,These datasets record mortality rates across all ages in the USA by cause of death; sex; and rural/urban status; 2011�2013. The dataset represents the rates for each administrative region under the Department of Health and Human Services (HHS).
